id,name,open,labeled,commented,closed
MDU6SXNzdWUzNTg3NTM1,https://github.com/swagger-api/swagger-js/issues/1,2012-03-09T18:38:04Z,,,2012-11-28T00:10:28Z
MDU6SXNzdWUzNTg4MjU0,https://github.com/swagger-api/swagger-js/issues/2,2012-03-09T19:24:39Z,,2013-03-13T00:29:47Z,2013-03-13T00:29:47Z
MDU6SXNzdWU2MzUyMTEy,https://github.com/swagger-api/swagger-js/issues/3,2012-08-21T14:44:11Z,,2012-08-21T15:27:45Z,2012-11-28T00:10:04Z
MDU6SXNzdWUxMDQ2NzE3OQ==,https://github.com/swagger-api/swagger-js/issues/13,2013-01-30T17:19:02Z,,2013-02-01T01:02:58Z,2013-02-01T01:02:58Z
MDU6SXNzdWUxMDUyNDgzNQ==,https://github.com/swagger-api/swagger-js/issues/14,2013-02-01T00:58:14Z,,,2013-02-01T00:58:50Z
MDU6SXNzdWUxMDc5MjMxMA==,https://github.com/swagger-api/swagger-js/issues/15,2013-02-08T19:33:26Z,,,2013-02-08T19:33:43Z
MDU6SXNzdWUxMjE4NjQ2OQ==,https://github.com/swagger-api/swagger-js/issues/20,2013-03-19T15:48:20Z,,,2013-07-07T23:01:30Z
MDU6SXNzdWUxMjM2MjcxMA==,https://github.com/swagger-api/swagger-js/issues/25,2013-03-23T20:06:09Z,,2013-03-23T22:36Z,2013-03-23T22:36Z
MDU6SXNzdWUxMjU0NDkzMQ==,https://github.com/swagger-api/swagger-js/issues/26,2013-03-28T01:27:08Z,,2013-07-07T22:53:02Z,2013-07-07T22:53:02Z
MDU6SXNzdWUxMjU0NTExMw==,https://github.com/swagger-api/swagger-js/issues/27,2013-03-28T01:36:14Z,,2013-03-28T03:51:52Z,2013-03-28T03:51:52Z
MDU6SXNzdWUxMzIxMzMyOA==,https://github.com/swagger-api/swagger-js/issues/29,2013-04-15T18:30Z,,2013-04-30T21:52:49Z,2013-05-30T08:27:27Z
MDU6SXNzdWUxNDM2ODM0OA==,https://github.com/swagger-api/swagger-js/issues/31,2013-05-15T16:55:25Z,,2013-07-07T22:54:08Z,2013-07-07T22:54:08Z
MDU6SXNzdWUxNDY5ODA4NQ==,https://github.com/swagger-api/swagger-js/issues/32,2013-05-23T22:03:33Z,,2014-07-11T15:56:33Z,2014-07-11T15:56:33Z
MDU6SXNzdWUxNDY5OTMyMQ==,https://github.com/swagger-api/swagger-js/issues/33,2013-05-23T22:38:49Z,,2013-05-30T08:26:45Z,2013-05-30T08:26:45Z
MDU6SXNzdWUxNTMxMTI2Ng==,https://github.com/swagger-api/swagger-js/issues/36,2013-06-08T22:09:31Z,,2014-10-18T22:31:37Z,2014-10-18T22:31:37Z
MDU6SXNzdWUxNjUwNzg1NQ==,https://github.com/swagger-api/swagger-js/issues/39,2013-07-09T04:59:20Z,,,2013-07-18T18:39:12Z
MDU6SXNzdWUxNjUyOTYxMw==,https://github.com/swagger-api/swagger-js/issues/40,2013-07-09T15:03:53Z,,2014-03-20T03:13:38Z,2014-03-20T03:13:38Z
MDU6SXNzdWUxNjU1MjY4NA==,https://github.com/swagger-api/swagger-js/issues/41,2013-07-09T23:12:52Z,,2013-07-09T23:21:08Z,2013-07-12T17:11:23Z
MDU6SXNzdWUxNjkzNjIxMQ==,https://github.com/swagger-api/swagger-js/issues/42,2013-07-18T18:39:52Z,,,2013-07-18T18:40:05Z
MDU6SXNzdWUxNjk0MzM1NQ==,https://github.com/swagger-api/swagger-js/issues/43,2013-07-18T20:59:49Z,,2013-08-30T00:08:08Z,2013-08-30T00:08:08Z
MDU6SXNzdWUxNjk0MzY2OQ==,https://github.com/swagger-api/swagger-js/issues/44,2013-07-18T21:05:31Z,,2013-07-18T21:56:53Z,2013-08-29T22:16:56Z
MDU6SXNzdWUxNzk3NTk3NQ==,https://github.com/swagger-api/swagger-js/issues/46,2013-08-13T02:01:25Z,,2013-08-13T20:28:07Z,2014-04-07T19:40:30Z
MDU6SXNzdWUxODE3MDAxOQ==,https://github.com/swagger-api/swagger-js/issues/47,2013-08-16T17:56:27Z,,2013-08-16T18:18:17Z,2013-08-30T12:15:06Z
MDU6SXNzdWUxODc2NDQ2NA==,https://github.com/swagger-api/swagger-js/issues/48,2013-08-29T23:52:08Z,,,2013-08-30T00:07:48Z
MDU6SXNzdWUxODgxOTMzMA==,https://github.com/swagger-api/swagger-js/issues/49,2013-08-31T07:08:26Z,,2013-09-03T04:07:49Z,2013-09-03T04:07:49Z
MDU6SXNzdWUxOTA1NDg4OQ==,https://github.com/swagger-api/swagger-js/issues/50,2013-09-05T16:26:58Z,,2013-09-05T17:56:47Z,2013-09-12T17:57:39Z
MDU6SXNzdWUxOTA3NjQ2Ng==,https://github.com/swagger-api/swagger-js/issues/51,2013-09-05T21:42:39Z,,2013-09-05T22:15:35Z,2014-03-20T03:12:58Z
MDU6SXNzdWUxOTMyNDQ0Mg==,https://github.com/swagger-api/swagger-js/issues/53,2013-09-11T14:57:03Z,,2013-09-12T19:24:33Z,2013-09-13T15:51:51Z
