id,name,open,labeled,commented,closed
MDU6SXNzdWUzMjczNTgxNA==,https://github.com/swagger-api/swagger-editor/issues/1,2014-05-03T00:29:33Z,,2014-05-06T23:16:32Z,2014-05-06T23:16:32Z
MDU6SXNzdWUzMjczNTg1Nw==,https://github.com/swagger-api/swagger-editor/issues/2,2014-05-03T00:31:15Z,,,2014-05-03T00:46:15Z
MDU6SXNzdWUzMjczNTkwNw==,https://github.com/swagger-api/swagger-editor/issues/3,2014-05-03T00:33:07Z,,2014-05-06T23:14:07Z,2014-05-06T23:14:07Z
MDU6SXNzdWUzMjczNTk4NQ==,https://github.com/swagger-api/swagger-editor/issues/4,2014-05-03T00:35:59Z,2014-05-07T00:22:44Z,2014-05-08T18:01:56Z,2014-05-08T18:02Z
MDU6SXNzdWUzMjkzNzg2NQ==,https://github.com/swagger-api/swagger-editor/issues/5,2014-05-06T22:04:27Z,,2014-05-06T23:00:17Z,2014-10-02T00:09:09Z
MDU6SXNzdWUzMjkzNzk3OQ==,https://github.com/swagger-api/swagger-editor/issues/6,2014-05-06T22:05:56Z,,2014-05-06T23:15:53Z,2014-05-06T23:15:53Z
MDU6SXNzdWUzMjkzODEyNw==,https://github.com/swagger-api/swagger-editor/issues/7,2014-05-06T22:08:12Z,,2014-05-06T23:14:47Z,2014-05-06T23:14:47Z
MDU6SXNzdWUzMjk0MTYzMw==,https://github.com/swagger-api/swagger-editor/issues/8,2014-05-06T23:06:02Z,,,2014-05-09T20:47:14Z
MDU6SXNzdWUzMjk0MTcxOA==,https://github.com/swagger-api/swagger-editor/issues/9,2014-05-06T23:07:41Z,,,2014-05-09T17:39:39Z
MDU6SXNzdWUzMjk0MTc3OA==,https://github.com/swagger-api/swagger-editor/issues/10,2014-05-06T23:08:41Z,,2014-08-21T02:35:14Z,2014-08-21T22:41:26Z
MDU6SXNzdWUzMjk0MTgwOA==,https://github.com/swagger-api/swagger-editor/issues/11,2014-05-06T23:09:06Z,,,2014-05-09T17:04:31Z
MDU6SXNzdWUzMjk0MTg4NA==,https://github.com/swagger-api/swagger-editor/issues/12,2014-05-06T23:10:27Z,,,2014-05-07T02:12:47Z
MDU6SXNzdWUzMjk0MjM1MQ==,https://github.com/swagger-api/swagger-editor/issues/13,2014-05-06T23:19:21Z,,2014-05-06T23:40:58Z,2014-05-07T21:11:34Z
MDU6SXNzdWUzMjk0NTYyMg==,https://github.com/swagger-api/swagger-editor/issues/14,2014-05-07T00:21:57Z,2014-05-07T00:21:57Z,2014-05-23T18:28:50Z,2014-08-21T02:35:46Z
MDU6SXNzdWUzMjk0NTcxMA==,https://github.com/swagger-api/swagger-editor/issues/15,2014-05-07T00:23:59Z,2014-05-07T00:23:59Z,2014-05-08T18:08:29Z,2014-09-04T23:05:45Z
MDU6SXNzdWUzMjk0NTc4OA==,https://github.com/swagger-api/swagger-editor/issues/16,2014-05-07T00:25:57Z,2014-05-07T00:25:57Z,2014-05-08T18:10:20Z,2014-05-08T18:10:31Z
MDU6SXNzdWUzMzAyNjEzNA==,https://github.com/swagger-api/swagger-editor/issues/17,2014-05-07T21:24:11Z,2014-05-07T21:24:11Z,2014-05-09T17:14:31Z,2014-05-10T00:05:10Z
