id,name,open,labeled,commented,closed
MDExOlB1bGxSZXF1ZXN0MTYxNzQyOTc=,https://github.com/swagger-api/swagger-editor/pull/48,2014-05-21T16:47:05Z,,,2014-05-21T17:47:43Z
MDExOlB1bGxSZXF1ZXN0MTY0OTI5MTI=,https://github.com/swagger-api/swagger-editor/pull/58,2014-05-29T17:40:45Z,,,2014-05-29T19:17:52Z
MDExOlB1bGxSZXF1ZXN0MTY1MjAxMDc=,https://github.com/swagger-api/swagger-editor/pull/59,2014-05-30T07:13:04Z,,,2014-06-01T18:04:37Z
MDExOlB1bGxSZXF1ZXN0MjAwNzU2ODA=,https://github.com/swagger-api/swagger-editor/pull/73,2014-08-20T21:32:44Z,,,2014-08-20T21:34:42Z
MDExOlB1bGxSZXF1ZXN0MjAzNDA2ODc=,https://github.com/swagger-api/swagger-editor/pull/102,2014-08-26T22:03:03Z,,,2014-08-26T22:21:48Z
MDExOlB1bGxSZXF1ZXN0MjA0MDY4MDk=,https://github.com/swagger-api/swagger-editor/pull/106,2014-08-27T22:30:09Z,,2014-08-27T22:40:17Z,2014-08-27T23:46:38Z
MDExOlB1bGxSZXF1ZXN0MjA0NjY2OTc=,https://github.com/swagger-api/swagger-editor/pull/110,2014-08-28T21:04:06Z,,,2014-08-28T21:05:17Z
MDExOlB1bGxSZXF1ZXN0MjA1MjQwMDc=,https://github.com/swagger-api/swagger-editor/pull/118,2014-08-29T21:18:51Z,,,2014-08-29T22:28:14Z
MDExOlB1bGxSZXF1ZXN0MjA1MjY4NTY=,https://github.com/swagger-api/swagger-editor/pull/119,2014-08-29T22:29:53Z,,2014-08-29T22:33:20Z,2014-09-02T17:32:12Z
MDExOlB1bGxSZXF1ZXN0MjA2MjkyNTc=,https://github.com/swagger-api/swagger-editor/pull/121,2014-09-02T17:57:55Z,,2014-09-02T21:33:59Z,2014-09-02T21:34:13Z
MDExOlB1bGxSZXF1ZXN0MjA2NTU0MTY=,https://github.com/swagger-api/swagger-editor/pull/124,2014-09-03T04:37:58Z,,2014-09-03T16:21:31Z,2014-09-03T17:45:50Z
MDExOlB1bGxSZXF1ZXN0MjA3MDAyMzQ=,https://github.com/swagger-api/swagger-editor/pull/127,2014-09-03T19:31:51Z,,2014-09-03T20:05:40Z,2014-09-03T20:05:47Z
MDExOlB1bGxSZXF1ZXN0MjA3MDA4Mjc=,https://github.com/swagger-api/swagger-editor/pull/129,2014-09-03T19:41:37Z,,2014-09-03T20:17:05Z,2014-09-04T20:54:14Z
MDExOlB1bGxSZXF1ZXN0MjA3MDE4Njg=,https://github.com/swagger-api/swagger-editor/pull/130,2014-09-03T19:58:44Z,,,2014-09-04T20:46:18Z
MDExOlB1bGxSZXF1ZXN0MjA3MDI4NzY=,https://github.com/swagger-api/swagger-editor/pull/134,2014-09-03T20:16:19Z,,2014-09-03T20:18:50Z,2014-09-03T20:19:04Z
MDExOlB1bGxSZXF1ZXN0MjA3Njk4MzA=,https://github.com/swagger-api/swagger-editor/pull/142,2014-09-04T20:19:56Z,,2014-09-04T20:23:54Z,2014-09-04T20:24:04Z
